category_id,number of tags
10,63
23,123
23,316
24,122
10,105
25,243
23,312
22,17
24,382
22,38
10,414
26,405
1,233
10,295
24,500
22,293
23,47
24,296
1,558
1,380
28,241
24,479
22,318
22,548
24,473
24,308
24,273
24,214
22,530
10,510
22,84
24,454
22,249
20,108
22,150
25,464
20,521
24,130
24,71
23,209
24,202
17,8
22,93
29,155
26,472
1,334
24,390
17,146
23,149
10,478
22,606
23,334
25,345
15,193
10,209
10,443
24,474
24,91
22,8
25,114
24,79
10,326
17,502
10,206
24,462
22,79
19,538
10,212
20,356
22,62
25,66
23,427
25,76
23,41
24,492
24,507
25,273
17,119
24,8
25,376
23,317
24,478
24,235
22,35
17,508
24,530
2,8
20,515
22,478
23,55
24,307
24,234
24,408
22,299
28,174
24,90
24,519
25,150
22,8
24,8
23,435
10,381
25,273
1,113
28,97
17,150
24,486
24,331
17,125
24,353
24,248
2,225
22,297
2,234
1,198
23,8
22,96
26,94
10,69
22,501
22,8
17,337
10,47
22,8
23,127
26,300
20,235
15,439
25,80
25,314
22,196
10,8
24,392
24,341
19,24
22,72
22,491
22,222
24,338
24,172
27,257
25,8
17,508
24,215
10,149
27,335
17,374
23,47
24,260
24,387
20,310
10,49
24,271
1,225
17,137
20,123
28,533
25,273
26,333
24,177
24,495
10,211
24,8
22,8
24,434
1,8
28,186
27,528
19,366
22,202
1,309
24,131
24,171
24,185
23,301
25,8
26,182
25,59
22,420
17,8
26,171
24,131
25,8
23,334
22,104
25,442
23,343
23,208
22,227
25,43
24,8
17,218
24,443
25,530
23,306
19,364
24,108
23,138
10,233
24,144
23,123
28,70
23,398
23,473
28,73
23,270
26,229
20,94
24,242
24,518
24,499
1,111
1,233
23,375
10,63
24,144
23,334
24,510
22,17
23,316
24,353
23,8
23,47
10,164
25,83
24,142
26,480
24,122
29,317
23,298
22,8
1,408
23,190
1,162
26,206
22,104
10,209
23,186
24,520
23,390
17,375
24,121
25,516
24,263
23,312
17,8
24,500
22,38
22,150
24,91
24,323
10,305
24,382
26,405
24,215
25,464
25,494
24,426
10,414
15,81
22,463
25,160
25,528
25,488
43,341
24,354
23,159
27,327
24,187
24,492
28,97
22,73
25,490
19,410
27,251
22,536
24,107
10,8
27,74
27,307
22,293
28,85
10,105
28,241
17,392
10,479
28,378
23,393
17,417
22,275
24,184
1,482
17,8
23,234
25,294
1,380
23,266
20,135
22,518
25,114
22,8
23,202
25,356
24,29
22,318
22,548
24,478
1,284
24,504
24,177
23,55
26,155
24,308
17,8
24,172
22,8
24,161
23,403
24,301
24,130
28,548
23,435
25,8
24,489
24,79
24,214
24,400
10,510
24,499
2,159
27,504
23,69
22,8
24,189
25,116
26,529
24,96
23,292
2,234
23,138
23,217
19,263
2,79
10,206
24,512
24,409
24,519
17,309
23,47
43,455
25,129
22,249
24,492
17,535
22,514
20,108
23,76
25,535
23,41
29,155
25,151
22,84
10,326
24,307
24,51
10,429
24,8
17,330
24,512
17,111
25,502
25,8
23,157
26,326
10,443
22,237
1,61
17,549
24,357
10,24
17,462
26,472
25,159
25,66
2,225
29,6
20,323
24,130
26,273
25,50
26,260
22,606
24,390
28,176
24,178
10,478
25,71
23,88
22,8
23,87
1,397
28,73
28,70
23,398
23,473
23,270
26,229
23,123
22,454
20,131
24,307
20,94
10,106
24,242
23,8
10,320
23,432
1,233
24,518
22,481
1,111
24,353
24,504
24,499
23,225
24,142
24,254
1,162
23,47
25,8
24,273
1,225
26,162
25,546
23,42
24,510
23,342
22,8
17,532
22,99
23,213
10,308
24,144
24,178
23,298
25,516
23,51
22,8
23,316
1,408
24,118
23,159
22,8
10,209
22,17
23,390
25,236
22,8
26,480
24,215
24,147
24,198
22,150
24,341
25,490
26,399
24,209
10,479
23,114
24,390
24,84
25,537
26,206
24,230
20,254
10,8
24,477
24,547
23,186
23,113
24,492
22,104
24,498
24,122
28,559
28,420
22,551
23,38
24,8
29,367
10,8
24,507
24,171
26,230
25,356
22,155
25,83
24,263
10,63
10,164
20,71
28,378
27,251
24,358
25,106
23,71
24,187
1,67
28,265
24,8
25,41
19,263
17,507
17,119
25,151
24,520
24,323
23,284
28,90
24,495
24,121
24,400
25,488
24,8
19,410
25,500
17,8
26,394
24,91
22,8
22,518
17,440
10,76
17,407
17,152
27,327
24,8
22,275
24,154
25,327
23,359
22,237
17,153
15,81
25,494
27,307
23,312
23,393
24,512
24,500
26,252
26,131
17,8
17,333
23,234
24,282
43,455
24,382
26,94
27,255
28,97
26,405
24,85
24,8
19,321
25,8
28,106
1,40
24,532
24,495
24,127
24,189
24,461
25,538
17,479
25,27
24,398
2,138
27,108
27,8
24,444
25,273
23,130
26,501
22,8
26,155
24,163
2,159
24,354
26,462
23,78
22,8
25,28
23,69
22,159
25,336
17,336
17,113
24,378
28,85
1,397
24,307
28,83
28,70
23,398
23,38
23,270
22,90
24,458
1,233
23,473
26,229
23,47
23,123
23,357
10,106
23,8
10,320
28,430
20,131
1,143
17,152
24,487
1,197
24,353
23,42
27,179
24,242
26,443
20,94
10,315
25,497
28,8
24,504
24,254
24,518
24,394
24,418
10,465
26,162
1,32
23,225
24,533
22,481
24,255
24,273
23,213
10,58
24,412
22,514
24,178
24,499
1,162
15,101
24,118
24,346
20,254
24,198
22,99
10,308
25,546
17,426
25,8
28,546
17,532
24,502
24,549
28,420
25,516
23,234
23,466
23,51
22,502
24,8
23,342
24,150
24,294
24,147
22,150
24,569
17,125
43,304
22,281
10,43
10,72
23,298
23,114
10,479
28,172
22,8
24,368
24,144
24,418
10,209
10,8
23,159
17,119
24,8
26,419
15,556
25,328
24,198
2,176
24,91
24,215
26,399
24,219
24,112
1,408
24,230
17,507
24,142
22,110
24,547
26,206
25,442
24,507
1,67
25,99
25,125
24,8
23,305
23,316
24,477
22,551
1,170
23,390
24,507
23,113
20,373
24,115
25,490
22,547
26,178
22,17
24,358
24,158
22,8
10,76
22,8
26,480
27,286
24,228
25,519
22,337
20,385
25,82
22,64
24,210
23,186
26,74
28,265
10,354
23,284
24,504
22,8
20,71
24,171
24,475
19,321
17,519
25,505
24,136
25,83
10,124
17,144
26,131
24,122
17,538
24,133
26,252
23,8
23,70
43,455
26,260
24,514
24,140
17,526
28,90
27,542
26,231
10,211
2,489
17,113
17,8
24,177
27,251
22,8
24,409
25,548
26,94
10,63
27,444
24,378
10,102
24,5
17,333
24,495
24,323
10,183
1,397
24,307
28,83
10,465
24,458
17,152
20,131
23,357
1,32
28,430
1,197
24,353
22,8
28,55
23,38
28,70
10,320
10,82
22,90
23,473
24,155
24,102
24,416
27,179
28,142
23,398
23,270
1,233
15,8
24,527
24,487
24,366
26,229
23,47
10,106
24,508
23,473
26,443
1,143
23,269
22,502
25,440
10,98
23,8
24,497
24,533
17,426
24,370
10,58
22,8
17,289
26,273
10,315
24,8
15,515
27,454
23,123
23,42
10,496
24,198
24,255
22,150
2,98
22,99
28,347
24,91
28,254
25,88
10,72
23,305
10,166
23,271
22,514
24,346
24,418
24,242
43,304
26,118
24,118
20,254
24,504
20,94
28,8
22,116
24,527
25,84
24,346
24,490
24,254
24,215
24,526
26,162
23,139
22,8
24,176
24,559
22,348
17,119
25,8
24,198
23,225
25,490
24,346
10,476
24,493
26,172
24,518
17,511
25,8
10,5
23,204
28,24
15,101
24,215
22,481
25,500
24,507
10,308
23,22
24,153
25,337
17,538
24,504
1,225
24,204
28,46
28,546
24,178
22,8
24,107
23,469
24,99
23,25
24,418
24,219
24,133
10,479
17,532
22,140
1,162
24,294
24,475
25,546
24,8
24,383
24,73
24,121
24,368
25,8
24,8
25,164
25,516
26,276
24,495
20,482
23,234
24,507
22,231
17,8
10,263
17,532
1,170
17,435
28,420
24,498
24,158
24,70
17,516
28,90
22,110
25,492
24,420
15,556
24,8
24,50
23,342
26,464
17,125
22,281
10,209
20,70
24,569
25,253
10,183
26,354
24,360
2,176
25,8
24,490
24,409
25,82
1,249
23,51
22,8
25,39
2,273
24,568
10,251
17,144
23,298
1,276
1,397
24,458
24,307
10,82
10,465
1,32
24,358
28,83
24,155
23,123
22,89
17,251
24,94
24,353
22,448
1,281
24,366
28,430
17,152
22,339
23,473
23,15
1,197
24,527
28,55
20,131
23,357
1,233
24,497
22,348
24,91
1,413
19,428
24,526
24,416
10,98
22,8
10,8
28,142
24,438
17,145
17,8
23,38
10,44
27,237
10,320
26,55
17,405
22,90
24,304
22,361
26,464
10,67
22,150
23,269
24,465
22,8
24,380
28,523
10,251
15,8
25,382
10,496
20,341
24,214
10,351
17,119
27,179
26,518
25,127
27,70
24,406
24,102
24,528
10,58
24,487
24,494
15,515
24,364
20,381
23,270
23,271
24,8
24,508
23,25
28,254
24,533
25,8
17,125
24,427
24,490
20,325
28,24
24,346
17,511
17,327
24,204
26,172
23,47
24,493
27,519
24,144
10,106
24,403
22,8
24,507
23,309
26,118
26,273
26,443
23,398
2,98
10,166
26,229
24,206
23,98
24,495
25,57
24,172
23,138
15,326
28,347
27,454
25,88
1,143
10,476
