category_id,number of tags
26,63
24,123
10,316
17,122
25,105
24,243
10,312
22,17
10,382
10,38
17,414
25,405
10,233
26,295
26,500
24,293
10,47
10,296
23,558
24,380
26,241
24,479
10,318
10,548
10,473
28,308
17,273
22,214
23,530
24,510
24,84
10,454
10,249
24,108
25,150
10,464
22,521
24,130
10,71
10,209
22,202
15,8
24,93
10,155
22,472
27,334
26,390
10,146
10,149
26,478
24,606
10,334
22,345
10,193
1,209
22,443
24,474
26,91
26,8
1,114
26,79
24,326
24,502
22,206
24,462
28,79
26,538
24,212
24,356
17,62
10,66
20,427
26,76
17,41
10,492
24,507
24,273
22,119
20,8
10,376
2,317
23,478
17,235
17,35
10,508
24,530
10,8
23,515
24,478
10,55
26,307
25,234
17,408
24,299
24,174
24,90
24,519
24,150
10,8
28,8
26,435
10,381
10,273
10,113
10,97
24,150
23,486
22,331
20,125
10,353
24,248
22,225
25,297
25,234
24,198
10,8
10,96
24,94
10,69
10,501
10,8
26,337
22,47
26,8
24,127
24,300
17,235
10,439
25,80
22,314
22,196
24,8
24,392
23,341
17,24
26,72
20,491
22,222
24,338
23,172
20,257
2,8
23,508
28,215
22,149
20,335
17,374
10,47
24,260
23,387
22,310
27,49
23,271
26,225
17,137
17,123
10,533
23,273
10,333
23,177
22,495
24,211
23,8
20,8
24,434
10,8
24,186
10,528
24,366
10,202
17,309
10,131
26,171
24,185
10,301
1,8
10,182
10,59
10,420
10,8
22,171
24,131
22,8
26,334
23,104
24,442
2,343
24,208
22,227
1,43
20,8
10,218
10,443
10,530
10,306
22,364
1,108
10,138
24,233
24,144
28,123
23,70
22,398
23,473
17,73
17,270
24,229
26,94
24,242
10,518
10,499
26,111
17,233
26,375
23,63
22,144
24,334
26,510
24,17
10,316
22,353
22,8
26,47
24,164
10,83
10,142
10,480
10,122
10,317
17,298
10,8
25,408
26,190
23,162
10,206
10,104
26,209
26,186
10,520
24,390
23,375
10,121
24,516
24,263
10,312
22,8
20,500
24,38
22,150
28,91
10,323
23,305
10,382
10,405
25,215
26,464
17,494
24,426
24,414
15,81
22,463
10,160
24,528
10,488
10,341
27,354
10,159
22,327
10,187
26,492
26,97
1,73
17,490
24,410
1,251
26,536
10,107
22,8
24,74
22,307
24,293
24,85
28,105
26,241
22,392
24,479
17,378
20,393
26,417
24,275
26,184
10,482
26,8
20,234
10,294
22,380
24,266
10,135
