video_id,category,Likes_Actual,Likes_Predicted
YEGhKwpEKEw,Howtoand Style,13333,8256
Ob48twC1yf8,Entertainment,28204,818
RbNaEwp7hMw,Howtoand Style,31881,15119
u7KZrt_cHH0,Filmand Animation,6279,86939
zNL_kGO6lQ8,Entertainment,18346,33004
RlSzahonkTk,Music,145998,77123
6SuMbFuKDf8,Music,329659,314407
q260bjSiyq0,Music,10474,24348
#NAME?,Newsand Politics,18712,11485
hivGryRKGvk,Autosand Vehicles,11754,37323
2Z3yeFZyCjI,Peopleand Blogs,5002,10522
BOZngVYS04s,Comedy,61747,130150
hn4mxYDmWgo,Comedy,19697,31148
B1r4Z3nXPVA,Entertainment,114605,49259
1WREZPc-kqQ,Filmand Animation,18037,46332
u0-pfzKbh2k,Traveland Events,9324,45154
KdfCcEnJDlY,Comedy,6143,8418
w4lcP5ZA4wg,Petsand Animals,31501,47347
PV_GHHXy7Po,Howtoand Style,75642,49341
CG9yQ8PXf6o,Music,29456,60820
uu99R0zAUEw,Sports,26931,44995
_fjfo256p6s,Music,6163,26314
zUzBfBqbSmc,Music,112713,77614
tJv-xtxKkQY,Gaming,138033,142073
Hgiu9cqph5Y,Howtoand Style,116029,74016
3ToRIUoXmIw,Entertainment,32064,18360
2KuqjW0WtZg,Entertainment,11632,17480
ZEkImgh--PE,Music,255024,178593
V_jU_ssWvc4,Comedy,8764,20658
8rqztDFvmZ8,Howtoand Style,63169,63596
Xx1tK0RyZxs,Entertainment,351,3569
CTFZoz-mB5k,Howtoand Style,14773,12150
qvZybtmE5RY,Entertainment,7491,24254
mLuzmXLORSg,Comedy,912,8775
aLLgene7kJo,Music,60,18723
07Um1PY_P4o,Entertainment,4720,10379
jWkOwC7vMb4,Filmand Animation,45833,63061
Tn8hOPeAnIM,Peopleand Blogs,176412,103012
8O_MwlZ2dEg,Music,1743625,867210
P7WRXaxu1u4,Entertainment,2249,11180
lsyXtbi9znw,Entertainment,11204,17251
zLJsJR0O6VI,Comedy,64850,43793
uwQX7nz0aUs,Comedy,9888,8202
mdaElUyT1Zo,Comedy,70,3905
mwiKZ4qmRnQ,Howtoand Style,12029,8223
UzeIb-TZo_I,Entertainment,19593,30048
IxF3mxWbdjw,Entertainment,82072,58715
db9Shsd8q8M,Entertainment,384,3229
2NpetP71B1o,Traveland Events,12440,22855
_oZIbFolJTw,Filmand Animation,26,28522
2aQykuIaJVI,Music,168518,114403
3iUfzN4RAB8,Comedy,46316,83739
