video_id,trending_date,title,channel_title,category_id,publish_time,views,Likes,dislikes,comment_count
_5d-sQ7Fh5M,18.09.02,LOGAN PAUL IS BACK!,Logan Paul Vlogs,Entertainment,2018-02-04T22:02:27.000Z,14161833,1216340,291900,436698
1J76wN0TPI4,18.14.06,Sanju | Official Trailer | Ranbir Kapoor | Rajkumar Hirani | Releasing on 29th June,FoxStarHindi,Entertainment,2018-05-30T07:51:32.000Z,40714581,778513,30866,76944
1PhPYr_9zRY,18.14.06,BTS Plays With Puppies While Answering Fan Questions,BuzzFeed Celeb,People and Blogs,2018-05-18T16:39:29.000Z,8259128,645888,4052,62610
2tDKp41nrw8,18.18.05,BTS (방탄소년단) 'FAKE LOVE' Official Teaser 2,ibighit,Music,2018-05-16T15:00:03.000Z,8753550,1431724,6335,125168
2Vv-BfVoq4g,17.16.11,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,Music,2017-11-09T11:04:14.000Z,43449654,1788960,24548,93428
36tggrpRoTI,18.03.05,Shawn Mendes - In My Blood,ShawnMendesVEVO,Music,2018-04-24T16:00:01.000Z,16146848,1094557,8876,65275
4kDklB6-69Q,18.24.04,Poo Bear ft. Justin Bieber & Jay Electronica - Hard 2 Face Reality (Lyric Video),Hannah Stocking,Comedy,2018-04-06T04:00:20.000Z,29178096,825258,15353,60709
6ZfuNTqbHE8,17.08.12,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,Entertainment,2017-11-29T13:26:24.000Z,91933007,2625661,53709,350458
7C2z4GqqS5E,18.01.06,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,Music,2018-05-18T09:00:02.000Z,123010920,5613827,206892,1228655
817P8W8-mGE,17.08.12,Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio],Ed Sheeran,Music,2017-12-01T00:54:56.000Z,36101955,998395,22585,50709
8O_MwlZ2dEg,18.19.03,j-hope 'Airplane' MV,ibighit,Music,2018-03-06T15:00:10.000Z,12163782,1784129,11162,180133
9wg3v-01yKQ,17.14.11,Harry Styles - Kiwi,HarryStylesVEVO,Music,2017-11-08T13:00:01.000Z,9632678,810895,16139,59473
aJOTlE1K90k,18.09.06,Maroon 5 - Girls Like You ft. Cardi B,Maroon5VEVO,Music,2018-05-31T04:00:00.000Z,66529577,2488565,43464,142410
BC19fhyTG_M,17.11.12,EXO 'Electric Kiss' MV -Short Ver.-,SMTOWN,Music,2017-12-05T19:00:02.000Z,6217292,635452,10339,79385
Bs-Hr-gEJAU,18.23.05,Shawn Mendes - Youth (Lyric Video) ft. Khalid,ShawnMendesVEVO,Music,2018-05-03T16:00:03.000Z,32079687,867305,7688,40794
cH4E_t3m3xM,17.27.11,"Selena Gomez, Marshmello - Wolves",SelenaGomezVEVO,Music,2017-11-18T16:00:02.000Z,20752341,804496,17557,44075
D_6QmL6rExk,18.14.06,BTS (방탄소년단) 'FAKE LOVE' Official MV (Extended ver.),ibighit,Music,2018-06-01T15:00:01.000Z,12709520,1817699,11949,156793
dc89yyOS0Z8,18.19.04,MEDICINE - QUEEN NAIJA  (OFFICIAL VIDEO),Queen Naija,Entertainment,2018-03-30T00:30:02.000Z,17404158,800784,10683,129289
dfnCAmr569k,18.19.01,"Taylor Swift - End Game ft. Ed Sheeran, Future",TaylorSwiftVEVO,Music,2018-01-12T05:00:01.000Z,45141770,1844959,102849,148768
DkeiKbqa02g,18.25.05,"Calvin Harris, Dua Lipa - One Kiss (Official Video)",CalvinHarrisVEVO,Music,2018-05-02T23:01:00.000Z,71017021,828626,36928,26279
E5yFcdPAGv0,18.14.06,Gorillaz - Humility (Official Video),Gorillaz,Music,2018-05-31T15:57:04.000Z,25016614,911150,30130,78492
eiDiKwbGfIY,17.22.12,Ed Sheeran - Perfect Symphony (with Andrea Bocelli),Ed Sheeran,Music,2017-12-15T08:12:39.000Z,27350528,1025895,17572,40899
ffxKSjUwKdU,18.14.05,Ariana Grande - No Tears Left To Cry,ArianaGrandeVevo,Music,2018-04-20T04:00:03.000Z,148689896,3094021,129502,242039
FlsCjmMhFmw,17.14.12,YouTube Rewind: The Shape of 2017 | #YouTubeRewind,YouTube Spotlight,Entertainment,2017-12-06T17:58:51.000Z,149376127,3093544,1643059,810698
