category_id,x,y,z
22,6.7394247,3.141836,-11.051251
24,8.904558,0.090350956,4.451372
24,13.679134,4.705687,-5.350128
24,5.390489,-10.925974,-3.8121989
24,7.018231,10.959804,6.105119
28,12.033833,-6.655496,0.6008979
25,12.432916,7.7726145,0.4257017
10,-0.8855056,-0.2111005,-16.079369
28,2.7688048,-1.630998,-9.536663
27,-5.41213,-9.060143,-6.8735275
10,4.8708806,4.460075,-2.0290797
10,-1.0327616,16.232584,-0.70041853
26,-0.96151054,1.5858096,10.234258
24,15.36487,1.982115,-1.44132
24,4.0929294,-13.010095,-2.321588
17,0.8128026,2.2766738,12.081009
10,0.427424,5.110413,6.3866234
24,-10.111107,9.605541,10.201766
28,3.9873748,-6.278624,8.548681
24,13.977885,2.9597023,-1.5680462
10,-7.474939,-0.65432906,5.9948516
22,-7.313436,2.744567,4.073717
26,6.9002905,11.947501,3.0473838
10,-0.23683827,5.7274146,-3.49273
10,0.06715054,-6.079819,2.8343656
10,-1.8328005,9.361305,8.703151
24,-5.9427705,-1.1093247,13.490218
26,0.7335601,-0.98718673,5.225133
1,1.2966386,2.388314,12.600532
10,-8.167539,-7.900959,5.315963
24,-2.7719555,-6.58485,-10.37778
24,-6.683971,4.010005,8.943934
26,8.776381,8.711799,8.5930395
1,11.631466,-2.5097258,5.9424105
10,-10.770171,10.4725,1.5996553
10,-8.19393,-6.7998133,-4.9897704
22,3.4143336,-9.666415,5.613286
10,-4.2567883,9.620607,9.937385
10,-7.1002584,3.7521825,0.042940654
26,-9.668205,-4.729715,8.205052
10,-4.8201566,0.18027939,-14.313919
10,-4.2501764,-13.916361,0.32757875
28,6.2161207,-9.821406,6.150808
10,-9.297839,-0.5167876,7.2433677
26,-3.359403,-5.085908,-0.52718353
24,-6.237938,-0.06386119,10.980635
22,-8.899364,-4.7068453,4.3470283
24,11.477917,-8.585163,4.671178
10,-11.3047285,-7.686961,3.7294548
10,-14.103076,4.1645207,2.3591416
10,8.288681,12.361897,-3.0842342
10,-1.4108862,0.31714848,7.0583215
10,-13.017608,9.25148,2.4012136
24,-10.549334,1.062668,-8.847544
10,-3.10608,-3.2096424,8.070074
10,-4.840593,2.3827527,-4.3022676
24,9.040277,-0.18454643,4.4021225
24,9.375909,7.3648987,4.755059
10,-9.32428,6.2334647,8.9651375
24,-14.766314,0.101204626,3.627852
22,-13.197578,5.6648045,3.450361
10,-8.342958,-0.84375626,3.9605892
10,-11.227241,4.8105564,7.2699447
26,-7.787454,-7.8651905,4.548311
24,2.7776628,-7.497665,3.9322343
26,-8.933852,13.334905,0.42082202
26,1.4866544,12.611374,-10.563877
10,-7.475586,-5.4251356,5.956505
22,-12.247834,4.793522,-4.832236
28,-14.144739,-3.1480935,2.2303348
24,-7.9130473,-7.740159,7.0079474
28,0.965703,14.77562,0.07419869
26,-9.202084,-2.4350722,-8.218562
28,15.205823,3.0153205,-5.8085666
1,11.441389,-9.653469,1.4184574
26,-2.3322225,-6.8670382,-10.396639
10,-2.846965,-2.1230493,-14.508625
22,9.917796,10.028181,-7.0735364
